id,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
442,1.5264,85.69,-6.520664486,1.934457448,8.455121934,1256.4185,5.567313569,-10565.31579,-10565.04929,-10565.0236,-10566.2486,37.666
786,2.0128,74.43,-6.547603758,1.849557923,8.397161681,1244.7424,4.952608354,-12554.17887,-12553.92074,-12553.89506,-12555.12115,34.782
802,0.2319,85.19,-7.079314245,1.871599146,8.950913391,1758.7547,6.160440155,-11609.11755,-11608.79877,-11608.77308,-11610.15267,42.54
1773,1.5269,84.99,-6.517671233,2.20303383,8.720705064,1257.3979,5.605327875,-10565.23514,-10564.98469,-10564.959,-10566.16868,34.954
2983,5.1649,85.56,-5.508128804,-0.616065785,4.892063019,1206.4734,4.661392098,-10971.71752,-10971.46312,-10971.43743,-10972.65049,34.564
3113,1.3078,85.58,-5.722554527,0.70450279,6.427057317,1172.481,4.963601754,-10533.17915,-10532.93588,-10532.91019,-10534.08621,34.302
3531,2.5011,82.22,-6.441479352,0.386129571,6.827608923,1303.8679,4.970132486,-11543.90516,-11543.64796,-11543.62227,-11544.84763,35.012
5032,0.4195,87.3,-5.843373082,0.402456403,6.245829485,1037.818,5.048855027,-9523.475734,-9523.270207,-9523.244492,-9524.33243,31.292
5070,0.2311,90.43,-6.078207346,0.878383548,6.956590894,1137.2205,5.700948687,-9556.551963,-9556.336259,-9556.310571,-9557.423925,32.638
5988,1.9228,80.96,-6.41671699,0.461777225,6.878494215,1231.4647,4.976037357,-11543.7278,-11543.48167,-11543.45598,-11544.64411,34.77
6011,3.2585,80.82,-5.858067231,0.254698575,6.112765806,1375.6073,3.715034507,-10365.26936,-10365.03234,-10365.00666,-10366.20752,31.336
6995,2.8497,82.16,-6.685021259,1.758399779,8.443421038,1329.7944,5.553843933,-11575.98935,-11575.70379,-11575.6781,-11576.94645,39.558
7751,2.4988,80.27,-6.827336809,1.016345276,7.843682085,1340.4046,4.855109957,-11542.385,-11542.09038,-11542.06469,-11543.35998,39.769
7854,1.9646,74.01,-6.59495157,1.480027298,8.074978868,1195.6561,4.923573804,-12553.38016,-12553.11052,-12553.08481,-12554.32214,36.83
8192,0.8395,82.55,-6.621346615,1.792414012,8.413760627,1506.5907,5.535285767,-11575.84611,-11575.55304,-11575.52735,-11576.81559,40.121
8231,2.4199,80.33,-6.324742505,0.357013388,6.681755892,1336.8508,4.944009555,-11543.77942,-11543.52393,-11543.49824,-11544.72575,34.996
8849,2.5496,78.37,-6.224604604,-0.497152027,5.727452577,1118.156,4.942376872,-11544.7574,-11544.50672,-11544.48104,-11545.67205,35.326
8960,4.445,80.02,-7.005843503,0.085171639,7.091015142,1301.2532,3.666761508,-10362.90079,-10362.65619,-10362.6305,-10363.81866,33.559
8971,4.0546,74.79,-6.671143452,0.696611488,7.36775494,1251.3962,4.607540765,-11981.44975,-11981.18057,-11981.15489,-11982.40577,37.032
9245,1.6462,85.08,-6.72175663,1.940988181,8.662744811,1273.1512,5.605300664,-10564.97734,-10564.72229,-10564.6966,-10565.90057,36.487
9650,1.501,81.18,-6.381886416,0.270209065,6.652095481,995.0285,5.021970177,-10533.63249,-10533.42424,-10533.39855,-10534.48494,32.609
9693,1.4935,75.84,-6.948699592,0.810627196,7.759326788,1082.1777,4.290800229,-11510.33086,-11510.08272,-11510.05703,-11511.23999,34.988
10461,2.1002,76.36,-6.166100123,0.412524615,6.578624739,1037.5042,4.3440257,-11511.24132,-11511.01949,-11510.99381,-11512.12449,31.251
10608,2.0885,76.42,-6.386784466,0.079457248,6.466241713,1232.245,3.354129891,-10905.08086,-10904.84483,-10904.81914,-10906.01606,31.178
11815,1.0485,91.86,-6.261339975,0.727632468,6.988972443,1587.6061,4.939927848,-9522.534955,-9522.275712,-9522.250024,-9523.476523,35.734
11915,3.8998,78.55,-6.689375081,-0.808722399,5.880652681,1338.4119,4.310936654,-11512.17307,-11511.92972,-11511.90403,-11513.09308,33.442
12373,1.566,84.13,-6.297803233,0.625317656,6.923120888,1140.4428,5.001343946,-10533.49684,-10533.27082,-10533.24513,-10534.38641,33.083
12390,0.3091,92.69,-5.748949572,0.773075483,6.522025055,1287.8186,5.623613927,-9556.003627,-9555.76101,-9555.735322,-9556.89733,35.73
13918,4.3019,84.38,-6.988428215,0.479192512,7.467620727,1226.6667,3.941732566,-9926.444854,-9926.175924,-9926.150236,-9927.380517,36.048
14405,4.2221,79.31,-7.329658999,0.768449548,8.098108547,1236.8768,4.61706475,-10970.62153,-10970.35554,-10970.32985,-10971.55803,36.052
15080,1.7011,84.3,-6.949515933,1.105870737,8.05538667,1261.3106,4.893886182,-10531.99828,-10531.72796,-10531.70225,-10532.93531,37.803
15416,1.1552,82.93,-5.16825859,1.303969629,6.472228218,1225.8404,4.647677559,-10971.39226,-10971.13384,-10971.10815,-10972.32646,35.705
15544,2.2238,80.52,-6.367464381,1.613090977,7.980555358,1211.5226,4.945914353,-11540.36757,-11540.12447,-11540.09878,-11541.28424,34.558
15939,3.2011,79.04,-6.682028006,0.595929359,7.277957365,1155.1968,3.944589761,-10937.45545,-10937.19313,-10937.16744,-10938.38665,35.569
16255,1.7137,85.86,-5.77207925,1.737719126,7.509798376,1220.3011,5.242545674,-11000.31018,-11000.0618,-11000.03611,-11001.21262,36.016
16426,0.5477,88.35,-6.486922367,0.740693934,7.227616301,1274.1802,4.939655734,-9522.346326,-9522.096797,-9522.07111,-9523.265145,35.665
16585,5.3279,72.29,-7.575377817,0.395381442,7.970759259,1242.8769,3.94671225,-11947.73234,-11947.46501,-11947.43933,-11948.67021,35.957
17186,4.1827,68.66,-6.290728272,-2.664811055,3.625917217,1079.9244,3.627985283,-12489.92008,-12489.67352,-12489.64783,-12490.83721,33.389
17539,0.2372,89.36,-6.316579089,0.795660934,7.112240023,1063.2221,5.691261433,-9556.460751,-9556.247223,-9556.221535,-9557.321284,33.026
18020,1.8841,85.05,-6.179433702,0.642460829,6.821894532,1174.0599,4.974050926,-10533.52024,-10533.28075,-10533.25507,-10534.42842,33.309
18991,3.3648,80.76,-5.96718489,-0.456607061,5.510577828,1128.4038,4.019910879,-10937.14382,-10936.92189,-10936.8962,-10938.03633,30.92
20008,2.942,79.1,-6.161474187,-0.648991562,5.512482626,1170.1065,4.019584342,-10937.75989,-10937.54429,-10937.5186,-10938.64649,30.294
20348,3.1108,83.48,-5.781331122,-0.537152764,5.244178357,1197.8209,4.06097286,-10939.24375,-10939.02127,-10938.99556,-10940.13054,31.522
21918,2.1161,77.21,-6.153582885,-0.439463888,5.714118998,1202.799,4.015366577,-11949.09557,-11948.85783,-11948.83214,-11950.00999,32.53
22142,4.9894,72.8,-6.259435178,-2.226435623,4.032999555,1027.3601,3.691795983,-11479.25676,-11479.03787,-11479.01218,-11480.14671,30.422
22289,1.2472,84.6,-6.612366858,2.001941686,8.614308544,1140.1257,5.60130059,-10566.05428,-10565.79482,-10565.76914,-10566.9672,37.096
22508,3.3509,76.19,-6.745974764,-0.675930834,6.07004393,1361.1597,4.274038015,-11407.84056,-11407.56006,-11407.53438,-11408.82403,36.208
22665,3.3133,79.73,-6.221067123,-0.661236686,5.559830438,1360.501,5.209919222,-12013.39159,-12013.09926,-12013.07357,-12014.37686,38.839
22701,2.6076,81.24,-6.974822522,1.62315919,8.597981712,1223.6128,5.528238018,-11576.18557,-11575.89941,-11575.87372,-11577.13519,40.337
22791,1.9002,74.9,-6.652095481,1.724113432,8.376208914,1372.5015,4.923056788,-12553.71519,-12553.44444,-12553.41875,-12554.67488,36.463
23037,1.3378,78.85,-6.140793534,1.808740844,7.949534378,1350.0395,4.915546445,-11542.85543,-11542.59779,-11542.5721,-11543.80342,35.79
23081,4.4887,75.74,-6.951148616,0.133063679,7.084212295,1214.17,4.332324804,-11406.86351,-11406.61147,-11406.58579,-11407.79125,34.203
23369,3.2715,74.08,-6.546243189,0.472117551,7.01836074,1378.0017,3.928507832,-11947.86342,-11947.58191,-11947.55623,-11948.85486,36.843
23970,1.4487,85.15,-6.860262586,1.685745378,8.546007964,1255.6651,5.58598058,-10565.17522,-10564.9159,-10564.89021,-10566.1157,36.922
23993,3.5635,76.42,-6.526378877,0.733074745,7.259453622,1428.6254,4.578914386,-11981.01464,-11980.73874,-11980.71306,-11981.99196,37.082
24041,1.9941,85.05,-6.569917095,2.071330721,8.641247816,1431.2133,5.584892124,-10565.02109,-10564.76041,-10564.73472,-10565.98438,35.768
24233,1.0191,72.06,-6.797404284,-0.785048493,6.012355791,1216.8972,4.251751889,-12521.526,-12521.2606,-12521.23492,-12522.47581,35.18
24235,1.9381,78.5,-6.394675768,1.939627612,8.334303379,1224.0711,4.935437969,-11542.75178,-11542.5001,-11542.47442,-11543.68369,35.28
24937,1.5089,83.55,-6.267054366,0.591031309,6.858085675,1112.3742,4.980037431,-10531.90198,-10531.66913,-10531.64344,-10532.786,34.283
24992,2.8389,82.71,-6.102697593,-0.139594411,5.963103182,1076.4106,4.998459539,-10533.03495,-10532.81299,-10532.7873,-10533.91111,32.929
25134,2.0864,74.91,-6.534270179,-0.586405374,5.947864805,1058.7556,4.335454113,-11511.52078,-11511.2952,-11511.26951,-11512.42083,31.393
25136,1.8861,77.08,-6.609373605,0.039728624,6.649102229,1028.1914,4.342583497,-11510.24941,-11510.03194,-11510.00625,-11511.12886,31.205
27681,0.7451,83.18,-6.314946406,0.067756352,6.382702758,1166.3066,4.000481949,-11156.70164,-11156.46466,-11156.43897,-11157.61888,32.173
27854,1.511,87.68,-6.232768019,0.88981233,7.12258035,1307.4588,5.587722108,-10566.83256,-10566.57312,-10566.54744,-10567.74261,37.715
28980,4.6088,83.81,-7.088294003,0.725455557,7.81374956,1417.0861,4.94096188,-10429.30749,-10429.0243,-10428.99861,-10430.27175,37.79
28981,0.0973,93.07,-6.658626214,2.535284856,9.193911071,1376.8154,6.187542695,-9587.726797,-9587.441404,-9587.415716,-9588.677889,40.037
29362,1.1669,84.44,-6.321205025,1.357848174,7.679053198,1572.4362,4.880008375,-10531.86701,-10531.5764,-10531.55071,-10532.85767,38.617
29365,1.7528,82.2,-6.396308451,1.597580486,7.993888937,1713.8192,5.536972873,-11575.75272,-11575.45051,-11575.42479,-11576.76642,39.827
29369,0.9557,79.75,-6.326375188,2.149427399,8.475802588,1447.9693,4.897069914,-11542.44797,-11542.17961,-11542.15392,-11543.41076,36.444
29378,1.1694,74.82,-6.027866281,1.570096986,7.597963267,1226.8618,4.627976516,-11979.29336,-11979.04867,-11979.02298,-11980.20624,34.436
29869,3.7816,80.04,-6.315490634,0.695795146,7.01128578,1204.1094,4.718835334,-10971.33947,-10971.11253,-10971.08682,-10972.23524,32.211
30014,2.3646,76.6,-6.724205655,0.877295093,7.601500748,1197.7794,4.247751816,-11509.35133,-11509.08664,-11509.06093,-11510.2908,35.908
30308,3.9358,75.57,-6.599305392,0.875118182,7.474423574,1134.322,4.326066185,-11406.75009,-11406.49498,-11406.46929,-11407.67514,34.689
30547,2.6277,75.08,-6.498895377,0.956208113,7.45510349,1220.9304,4.67184127,-11982.14786,-11981.89577,-11981.87008,-11983.08129,34.467
30775,2.7215,72.33,-7.394694212,-0.049524723,7.345169489,1537.4928,3.590487992,-12488.85756,-12488.58223,-12488.55655,-12489.8373,35.414
31046,3.0974,83.56,-6.290728272,0.725183443,7.015911716,1468.2644,4.931356261,-10429.14071,-10428.86381,-10428.83812,-10430.11003,37.312
31494,1.4022,84.35,-6.291000386,0.454974378,6.745974764,1208.5098,4.960363599,-10533.07136,-10532.83247,-10532.80679,-10533.98596,33.621
31539,1.7808,75.83,-6.814819571,2.031602097,8.846421668,1459.0271,4.888307848,-12553.40729,-12553.12639,-12553.10067,-12554.38437,37.975
31608,4.2424,75.5,-6.895093161,-0.854165414,6.040927746,1146.4406,4.002930974,-10939.11107,-10938.87512,-10938.8494,-10940.02009,32.604
31761,1.9724,74.03,-6.608557263,1.656084967,8.26464223,1194.3479,4.922811886,-12553.71345,-12553.44498,-12553.41929,-12554.65589,36.776
32103,4.7306,77.16,-7.352788677,-0.154016446,7.198772231,1093.5944,4.005271153,-10938.39933,-10938.16041,-10938.13472,-10939.30819,33.286
32196,1.9433,73.58,-6.935638126,1.684929036,8.620567162,1115.2003,4.970268543,-12554.53793,-12554.29343,-12554.26774,-12555.43013,35.803
34508,1.8118,87.2,-6.100520682,-1.083285286,5.017235396,1132.4461,4.358611003,-10501.1087,-10500.87656,-10500.85085,-10502.00366,32.942
35185,3.1946,83.92,-5.709220948,-0.557561304,5.151659644,1154.6661,4.061462665,-10939.2822,-10939.06067,-10939.03499,-10940.16774,31.435
35577,0.7436,90.85,-6.245557371,0.714298889,6.95985626,1390.4191,4.944717052,-9522.499526,-9522.240936,-9522.215248,-9523.43957,35.678
35764,1.5105,85.07,-5.984600177,0.680828884,6.665429061,1123.7453,4.970731137,-10533.39812,-10533.16521,-10533.13953,-10534.29609,33.226
36246,2.949,78.63,-6.294537866,-0.362999893,5.931537974,1190.297,4.861885592,-11544.33747,-11544.05385,-11544.02816,-11545.28619,38.543
36318,4.281,83.87,-7.272515088,0.915391033,8.187906121,1224.3639,4.639323664,-9959.695345,-9959.449136,-9959.423448,-9960.606028,34.347
37147,2.0742,75.15,-6.341613564,-0.577425616,5.764187948,1060.6315,4.347291067,-11511.61385,-11511.38571,-11511.36002,-11512.50385,32.546
37464,2.539,71.11,-6.997135859,-1.130088871,5.867046988,1224.0928,3.554160792,-12488.15839,-12487.87678,-12487.85109,-12489.12287,37.259
38338,4.0075,85.7,-7.127478399,0.123539694,7.251018093,1272.7594,3.944208802,-9926.544774,-9926.281177,-9926.25549,-9927.471594,35.877
39326,3.2794,72.2,-6.625700437,-1.35403858,5.271661857,1038.8242,3.709701075,-11375.44489,-11375.20959,-11375.1839,-11376.3517,31.797
39598,2.5752,79.63,-6.050451732,1.796223606,7.846675338,1370.9958,4.897478085,-11542.81891,-11542.54789,-11542.5222,-11543.76962,37.576
40465,0.2208,96.05,-5.859699914,1.054441217,6.914141131,1384.0045,6.182290898,-9589.230879,-9588.94467,-9588.918955,-9590.176665,40.302
