id,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
442,1.565537085,86.19565535,-6.43727386,2.0142073,8.45148116,1256.557334,5.569607924,-10558.13121,-10557.86378,-10557.83808,-10559.06549,37.7132909
786,2.020080127,74.07456014,-6.466418016,1.940031537,8.406449554,1244.733242,4.956756104,-12546.59981,-12546.3415,-12546.31581,-12547.53979,34.7639986
802,0.276080979,85.27073576,-7.006235211,1.964794416,8.971029654,1758.920821,6.162104322,-11601.44646,-11601.12632,-11601.10063,-11602.48313,42.6078611
1773,1.538858663,85.61758459,-6.455879454,2.266490783,8.722370238,1257.657624,5.609539491,-10558.0724,-10557.82161,-10557.79592,-10559.00783,34.8895004
2983,5.182064292,85.89782885,-5.42740922,-0.541239479,4.886169713,1206.619884,4.662380334,-10964.70338,-10964.44725,-10964.42156,-10965.64322,34.5757459
3113,1.314008178,86.13520681,-5.642608318,0.777992989,6.420601334,1172.648825,4.96762142,-10526.19628,-10525.95268,-10525.92698,-10527.10426,34.2619914
3531,2.533372613,82.1823658,-6.356547745,0.467164807,6.823712552,1304.055538,4.972919232,-11536.61735,-11536.35938,-11536.33368,-11537.5621,35.0150022
5032,0.40905725,88.11148041,-5.764331625,0.47744086,6.241772485,1038.026149,5.051123123,-9516.769099,-9516.563319,-9516.537626,-9517.626111,31.3126991
5070,0.221874521,91.26963524,-6.001209218,0.946142213,6.947351431,1137.486162,5.704858419,-9549.664492,-9549.448834,-9549.423141,-9550.536198,32.630468
5988,1.967421024,80.9975467,-6.333204321,0.540802519,6.87400684,1231.63185,4.978838062,-11536.44327,-11536.19635,-11536.17066,-11537.36122,34.7639986
6011,3.257470261,81.45451559,-5.776899748,0.341161721,6.118061469,1375.723551,3.717926914,-10358.67091,-10358.43282,-10358.40713,-10359.614,31.3126991
6995,2.863233342,82.10138682,-6.611408092,1.830942206,8.442350297,1330.127136,5.555516399,-11568.50499,-11568.21843,-11568.19273,-11569.4609,39.5958179
7751,2.534115016,80.55260538,-6.748028952,1.09820499,7.846233969,1340.503012,4.858563925,-11535.07025,-11534.77517,-11534.74948,-11536.04694,39.7213197
7854,1.985944566,73.5451254,-6.516924961,1.567014317,8.083939279,1195.701238,4.921851106,-12545.80088,-12545.5287,-12545.50301,-12546.74681,36.9602801
8192,0.865713961,82.57763878,-6.54308294,1.874211548,8.417294461,1506.7424,5.537290838,-11568.3611,-11568.06705,-11568.04135,-11569.33074,40.160576
8231,2.43340726,80.3342182,-6.246614751,0.44342826,6.690043012,1336.893924,4.94581163,-11536.49584,-11536.23954,-11536.21385,-11537.44293,35.0150022
8849,2.562085896,78.57702084,-6.162059586,-0.430722366,5.73133722,1118.347657,4.944713297,-11537.49038,-11537.2392,-11537.21351,-11538.40523,35.3287567
8960,4.444912455,80.63349269,-6.928007618,0.162472575,7.090480193,1301.383404,3.667605333,-10356.29738,-10356.05235,-10356.02665,-10357.21546,33.5717315
8971,4.089530555,74.48190946,-6.606148648,0.768599129,7.374747776,1251.562428,4.612590273,-11974.1444,-11973.87518,-11973.84949,-11975.10271,37.023031
9245,1.675360008,85.4342093,-6.650054165,2.016160207,8.666214372,1273.445198,5.604358007,-10557.79761,-10557.54067,-10557.51498,-10558.72654,36.5837747
9650,1.531655079,81.514671,-6.308789095,0.345941455,6.654730551,995.2455716,5.0265129,-10526.63741,-10526.42899,-10526.4033,-10527.49005,32.5677171
9693,1.486685304,76.00822844,-6.87945173,0.884357726,7.763809456,1082.356329,4.29560263,-11503.21575,-11502.9677,-11502.942,-11504.12571,34.9522513
10461,2.10974396,76.52430369,-6.086119274,0.488521119,6.57464042,1037.627722,4.346720009,-11504.15522,-11503.93297,-11503.90728,-11505.03946,31.2499482
10608,2.073909432,76.93322253,-6.305717093,0.152845459,6.458562552,1232.412558,3.358292717,-10898.40841,-10898.17241,-10898.14671,-10899.34706,31.1244464
11815,1.042533357,92.88319372,-6.18099882,0.799589251,6.980588071,1587.852964,4.943759673,-9515.805914,-9515.546543,-9515.52085,-9516.748995,35.7052621
11915,3.900250627,78.44617096,-6.611627987,-0.741935997,5.869691962,1338.626088,4.314437291,-11505.06812,-11504.82468,-11504.79899,-11505.98844,33.4462297
12373,1.600788759,84.45133282,-6.219165456,0.694501599,6.913667054,1140.718009,5.001408873,-10526.50003,-10526.27274,-10526.24705,-10527.39174,33.1324752
12390,0.302189941,93.64989564,-5.670824485,0.841696531,6.512521016,1288.089226,5.629402714,-9549.117993,-9548.875602,-9548.849911,-9550.0115,35.7052621
13918,4.290019902,85.29691932,-6.915809543,0.550496004,7.466305547,1226.869783,3.944957306,-9919.866471,-9919.598197,-9919.572504,-9920.800486,36.0190166
14405,4.259401749,79.59299704,-7.257859634,0.841651551,8.099511185,1237.029519,4.617271665,-10963.57846,-10963.31115,-10963.28545,-10964.51712,36.1445184
15080,1.728065096,84.84027616,-6.878438269,1.176570817,8.055009085,1261.576773,4.900759098,-10524.98433,-10524.71448,-10524.68879,-10525.92031,37.7132909
15416,1.134529418,83.25211658,-5.076631458,1.391806705,6.468438162,1225.88624,4.65012789,-10964.35539,-10964.0954,-10964.06971,-10965.29339,35.7052621
15544,2.257580812,80.4533419,-6.289075262,1.69113745,7.980212712,1211.534713,4.946852356,-11533.07475,-11532.83097,-11532.80527,-11533.99167,34.5757459
15939,3.227427928,79.48232368,-6.619980903,0.667076032,7.287056935,1155.411257,3.945260277,-10930.60563,-10930.34244,-10930.31675,-10931.53944,35.5797603
16255,1.731046789,86.10419727,-5.693181659,1.809741379,7.502923011,1220.549461,5.244835159,-10993.09731,-10992.84854,-10992.82285,-10994.00021,36.0190166
16426,0.550379265,89.37055186,-6.405772136,0.816537319,7.222309455,1274.449857,4.94204424,-9515.624167,-9515.374352,-9515.348659,-9516.544496,35.6425112
16585,5.404469261,72.12282957,-7.499704285,0.482946404,7.982650689,1242.901103,3.944322056,-11940.58502,-11940.3154,-11940.28971,-11941.52582,36.0817675
17186,4.206787853,68.23029215,-6.227836555,-2.602812578,3.625023976,1080.101382,3.628917028,-12482.7066,-12482.45848,-12482.43279,-12483.62779,33.4462297
17539,0.239424891,90.19465402,-6.241379607,0.865114868,7.106494475,1063.521502,5.695720019,-9549.575533,-9549.361904,-9549.336211,-9550.436452,33.0069734
18020,1.896006178,85.56939213,-6.101931511,0.715060563,6.816992074,1174.252809,4.97776226,-10526.53536,-10526.29543,-10526.26974,-10527.44473,33.3207279
18991,3.380418292,80.98450631,-5.889838729,-0.384678877,5.505159851,1128.537665,4.023144571,-10930.31114,-10930.08897,-10930.06328,-10931.20447,30.9361937
20008,2.946000347,79.32805526,-6.083112688,-0.574637918,5.508474797,1170.231051,4.022132335,-10930.92449,-10930.70838,-10930.68269,-10931.81244,30.3086847
20348,3.104484897,83.77038492,-5.701481268,-0.463213986,5.238267255,1197.981742,4.064967982,-10932.4084,-10932.18549,-10932.1598,-10933.29673,31.5009518
21918,2.095412405,76.92447817,-6.077128061,-0.369177666,5.707950394,1202.975778,4.016883939,-11941.96031,-11941.72133,-11941.69564,-11942.8774,32.5677171
22142,5.021114437,72.79634227,-6.194209839,-2.164126528,4.030083311,1027.504899,3.693590819,-11472.34148,-11472.12219,-11472.0965,-11473.23245,30.4341865
22289,1.260270759,85.09668126,-6.537733835,2.070456991,8.608190826,1140.33651,5.604007389,-10558.87275,-10558.61224,-10558.58655,-10559.78769,37.0857819
22508,3.341689192,76.45749418,-6.669478006,-0.605007241,6.064470766,1361.234339,4.273035248,-11400.77914,-11400.49752,-11400.47183,-11401.76281,36.2700202
22665,3.339123576,79.8370575,-6.152723768,-0.5927533,5.559970468,1360.700872,5.212963904,-12005.89259,-12005.60011,-12005.57442,-12006.87657,38.8428071
22701,2.656574343,81.35651086,-6.898007201,1.708956908,8.606964109,1223.762503,5.536134899,-11568.70969,-11568.42442,-11568.39872,-11569.65598,40.2860778
22791,1.911642938,74.48566518,-6.574447192,1.83014015,8.404587315,1372.532762,4.926690733,-12546.13478,-12545.86317,-12545.83748,-12547.09772,36.4582729
23037,1.373688088,78.9248252,-6.068330184,1.893496747,7.961826931,1350.087762,4.919701515,-11535.58112,-11535.32331,-11535.29761,-11536.52634,35.768013
23081,4.469995267,75.8142373,-6.867799052,0.213021671,7.080820695,1214.275886,4.333575276,-11399.79451,-11399.54163,-11399.51594,-11400.72322,34.2619914
23369,3.290637643,74.04064292,-6.477430736,0.555529757,7.032960493,1378.107474,3.931494881,-11940.72551,-11940.44411,-11940.41842,-11941.71504,36.8347783
23970,1.46555547,85.59800477,-6.792944719,1.752916195,8.545860887,1255.943608,5.589901523,-10557.99682,-10557.73784,-10557.71215,-10558.93184,36.8975292
23993,3.597736131,76.29605518,-6.454691623,0.81197084,7.266662463,1428.652587,4.582655272,-11973.72527,-11973.44858,-11973.42289,-11974.70808,37.0857819
24041,1.994205847,85.70684196,-6.504084969,2.151664693,8.655749635,1431.423648,5.593046588,-10557.8575,-10557.59817,-10557.57248,-10558.81411,35.7052621
24233,1.057643508,71.69756268,-6.725019385,-0.709553958,6.015465454,1216.858208,4.2531065,-12514.14288,-12513.87592,-12513.85023,-12515.09607,35.2032549
24235,1.978436218,78.54159225,-6.325107301,2.012576712,8.337683986,1224.104256,4.93641649,-11535.47675,-11535.2235,-11535.19781,-11536.4125,35.3287567
24937,1.536177826,83.9015126,-6.191758991,0.664673375,6.856432366,1112.625827,4.983304838,-10524.90751,-10524.67368,-10524.64798,-10525.79475,34.2619914
24992,2.852197056,83.1626017,-6.039900054,-0.0758168,5.964083254,1076.636429,5.001386423,-10526.04225,-10525.82006,-10525.79437,-10526.9187,32.9442225
25134,2.0980866,75.01074868,-6.474838961,-0.522991796,5.951847165,1058.944917,4.339760288,-11504.436,-11504.21074,-11504.18505,-11505.33411,31.37545
25136,1.910688074,77.17191981,-6.538585306,0.117979754,6.656565061,1028.310407,4.345623934,-11503.17389,-11502.95599,-11502.9303,-11504.05419,31.1871973
27681,0.703177359,83.60003837,-6.229258404,0.151226299,6.380484731,1166.4365,4.009664676,-11149.89146,-11149.65553,-11149.62984,-11150.80412,32.0657099
27854,1.519613002,88.18181881,-6.14921388,0.964814067,7.114027974,1307.656416,5.590646516,-10559.6543,-10559.39442,-10559.36873,-10560.56506,37.7132909
28980,4.613330033,84.46660667,-7.000335864,0.805726888,7.806062752,1417.236657,4.941051896,-10422.3598,-10422.07512,-10422.04943,-10423.32739,37.8387927
28981,0.092631325,94.25481483,-6.587246367,2.593985858,9.181232225,1377.146243,6.193771763,-9580.663682,-9580.378814,-9580.353124,-9581.61429,39.9723233
29362,1.19215757,85.00183445,-6.250045182,1.434066423,7.684111605,1572.735156,4.879591279,-10524.85135,-10524.55906,-10524.53336,-10525.84488,38.6545544
29365,1.777597641,82.13915555,-6.327498883,1.678996138,8.00649502,1714.190959,5.532796905,-11568.2779,-11567.9713,-11567.94561,-11569.30326,39.9723233
29369,0.9946492,79.92114091,-6.248952209,2.238417558,8.487369767,1447.989775,4.901452988,-11535.16212,-11534.89278,-11534.86709,-11536.12945,36.4582729
29378,1.21222157,74.51092112,-5.95165195,1.640806318,7.592458241,1227.048063,4.628876478,-11971.97463,-11971.72872,-11971.70303,-11972.8896,34.512995
