intersect_smiles,qm9_id,al9_id
N#CCc1ccc(N)[nH]1,28686,4455130
CCc1coc(OC)n1,31712,4208242
CC1=CCOC(C)C1C,95403,6164188
OC1CC1(O)C1CCO1,87171,5115559
CC1OC2C=CCCC12,91194,5533495
OCC1CC(O)(CO)C1,112628,7564108
CCCC1CCCC1O,121351,7252121
C#Cc1cncc(=O)o1,24897,5850928
CC#CC(=O)C(C)C#N,52514,1272482
CC1=CC2C=CC1C2O,80006,458268
C#CCCC(C)C(N)=O,61896,2780435
CC1(C)C2COCOC21,63183,2368213
CCCOc1cnc[nH]1,33195,8146314
C#CC(=O)n1ccnc1,24757,4372841
CC#CC1CC(CO)C1,112931,1851802
CC1COC1C1COC1,94568,6612020
CC12CCC(OC1)C2=O,72517,839843
CCC#CCC1COC1,97944,5383551
C#CCC1(O)CCC1C,94217,5922572
CCOC1C=CC(C)C1,120503,8311126
CC1OC2COCC12C,92602,7018109
OC1CCC=CC2CC12,95551,7237028
C#CC1=CC(C)CC1=O,84974,7453960
CCOC(=O)C(C)(C)O,117085,8559090
CCN1CC(=O)CC1C,112438,8726163
CC1=CCCC2CC12C,75493,1592299
CCc1cc(C)cn1C,31603,3821813
NC(=O)C1C(=O)C2CC21,54804,7008762
CCCC(O)C(C)CO,118065,3732419
CCOC(=O)N(C)CC,117182,7819431
C#CCN(C=O)C(C)C,58379,4089531
CC(C)OCC(C)(C)C,60340,4253310
CC(O)C1CC(C)C1C,59359,2418679
CC(=O)C1CC=CC1C,84793,7741747
CC(O)C1C2COCC21,59271,1616465
CC(C)COC1COC1,60411,3162818
C#CC12C=CC(C=C1)O2,33804,3517620
CN1C=CC2(CC2)C1=O,84484,8748259
OC1CCC2OCC12O,95298,7512881
C1CC2CCC2CCO1,42039,394842
O=C1CCCC2CC2C1,47552,6925058
O=C1COC2OCCC12,47102,6533082
c1cnc2c(c1)NCC2,24696,3769831
CCCC1COC(C)C1,121111,8920781
CC12CC(O)COC1C2,95158,2427816
C#CC1OCCC(=O)O1,47373,4689458
CCCC1C=CCC1=O,120353,9126976
CC1=C2C(C)CC2CC1,92323,6589934
CCC1CC(=O)CN1C,112424,3435361
CCOC1CC1CC#N,120796,8064520
O=CNCCC1CC1O,89125,4955819
O=C1CC2C=CCC1O2,44937,5390602
CCCC(=O)C(C)(C)C,117078,3328878
C#CC(C)CCNC=O,62228,170814
CC1C=CCC(=O)CC1,93537,7055555
CCC12CC=CC1C2C,108167,4149695
O=C1CC2(C=CCC2)C1,43728,6383863
C#CCC(O)(CO)CO,100341,7359661
CC12CCCC1CCO2,73678,515057
O=C1C=CCC2CC2O1,45139,7093063
CNC(=O)C(C)C(C)O,98269,9772017
COC1C(=O)C2COC21,111826,8315168
CC1=CC2CC2(C)C1=O,74801,443404
C#CC1=CC(=O)CC1C,85344,7639056
CC1(C)COCCC1O,96340,535960
CC1CC1C(=O)C(N)=O,88259,6290155
CC1(C)CCC2CCC21,64283,1960735
CCc1cc(OC)on1,126473,3434697
CC1COC12CC(O)C2,90033,5463737
C#CCOCC(=O)CO,99363,6977368
N#Cc1ccnc(O)c1,27603,6547792
C#CC1CC(=O)N1CC,110157,7888836
C#CC1CCOC(C)C1,95838,5268282
CC(CO)c1cc[nH]c1,30678,1527723
CC1(C)CC2CC1CO2,63943,764741
CCC1COC1C1CC1,115724,1665239
CC(O)C1CCC12CC2,59670,1021903
CCC1(OC)CC=CC1,104804,3129168
C#CC1(OCC#N)CC1,36577,3510361
C#CC(=O)C(C)COC,117911,6139619
C#CC(O)(C#N)C1CC1,56380,4766814
COCc1cnc(C)o1,32952,6310568
C1CC2(CN3CCC32)O1,40927,1763124
CC12CCOCC1OC2,73276,2078731
CCC(C)c1ccoc1,30684,7033186
OC1CC1C1(O)CC1O,88454,5954935
N#CCNC1CC1CO,113989,7603116
CC1(C2CC2)OC2CC21,65515,647742
CC1(O)CC(CCO)C1,120441,2027269
CC#CC1(C)CCC1O,52837,1441388
COCc1cc(C)on1,128825,4390165
Nc1ccc(CCO)[nH]1,32960,5964254
C1CC(C2OC3CC32)O1,38184,3561288
CC1C(CO)C1C(N)=O,109731,2177201
CC1C(O)C(=O)C1(C)C,76323,89072
CC1C(=O)C(C)C1C#N,75989,437587
CC1C(C#N)C2OCC12,83667,7194080
CCC1CC(C)C1CO,112810,2021970
CC(=O)C1CC(C)(C)C1,54905,2085837
N#CC#CC1CCCO1,33363,5764212
O=C1CC(CO)CCO1,116119,7519395
O=CNCc1ccc[nH]1,25580,4473041
CC1=CC(=O)C(O)C1C,76262,2570475
CCOC1C2CC(C)C21,120144,8182959
OCC1C2COC1OC2,111813,7557259
C#CC(CC)CCCO,122062,9968328
CCC1CC1(O)CC#N,113244,4159595
C#CC(=NO)C(C)(C)C,22040,2246589
N#CC(N)CC1CCC1,61664,6339297
CC(=O)N(C)CC(C)C,59961,2685309
CN1C(=O)CC12COC2,75804,7840916
CC1COCC12CCO2,95956,5992544
CC1(CC(=O)CO)CC1,99097,314130
N#CC(=O)CC#CCO,97879,7474520
CCC(O)(CO)C(C)=O,100277,3402564
CC1(C)OCCC2CC21,64414,521270
N#CC1CC2C(=O)OC12,44194,5823601
C#CC1(C2CC2)CCO1,33529,1667267
CCC(CC)CC(C)O,102641,6514099
O=C1C=CC2=CCCC12,43285,7012057
CCC1CC(O)CCO1,116156,2488101
CC1CCCOCC1C,96547,7022915
CCC12CC1C(O)C2O,107014,2920140
CC#CC(C)(C)CCC,117623,3545034
CCC(C)C1(C)COC1,100997,5713985
C#CC(C)(O)C(=O)NC,98165,9132242
CCCC1CC=CCC1,121291,7142211
CC1OC2CC(O)C2O1,91388,5416842
C#CC1COC(C#N)O1,35673,171713
CC(C)C1C(C)C2CC21,59232,1415495
CC1=CCC(=O)COC1,75116,102416
O=C1CCOC12CCC2,47403,5155695
O=C1COC2(CCC2)C1,46551,4605714
CN1C(=O)C=C2CCC21,83625,8434695
C#CC(C)C(C)(N)C#N,56501,2907196
CC12CCC=CCC1C2,70520,788154
CC1(C)OCC1CC#N,64228,120817
CC1CCC2(C)C(C)C12,78023,156272
CC(C)(CO)C(=O)CO,98181,3305164
C#CCOC1COC1C,94637,4499685
CC(C)CC1CCCC1,60268,2641615
CC12CC=CC1CCO2,73624,263098
CC(C)CC(C)C(N)=O,59957,3774200
CC1NC(=O)C12CCO2,85133,5903481
CCNC1COC1C#N,121185,8058803
N#CCNC1C2COC21,36659,4545677
CCCC1COC12CC2,121150,9976009
Cc1c(N)occc1=O,26536,907133
C#CCOC(=O)C(C)=O,53853,4136156
OCCN1CC2(O)CC12,120887,7447304
CCC1(OC)CC1CO,113373,2999060
CC(C#N)(CO)C1CC1,99885,2947235
C#CC(C)C1(O)COC1,56669,3771977
O=C1CC2CC2CC1=O,45120,6444767
C1=CC2=CCCC2OC1,41929,3482309
O=C1CC=C2CCC12O,72785,7127020
COC1(C#N)C=CCO1,105722,9583715
CC(=O)C(C)C(O)C#N,56558,1164144
CC1CCC2C(O)C12C,83259,5991463
CCC1CC2CC(C)C12,114514,3500536
O=C1CC2OCOC2C1,45566,4738091
COC(=O)N1CCC1C,98858,9304682
N#Cc1ccc(=O)oc1,25054,5693046
C#CC(C)(C#N)C(C)=O,53916,3563101
O=C1CCCOCOC1,47926,6212904
CC(=O)C1(O)CC(=O)C1,54131,1743064
CC1(CC(N)=O)CCO1,55690,3071982
CC1=C2CCC2OCC1,74033,1612403
C#CC(O)COCCO,122926,7465925
CC#Cc1[nH]ccc1O,25626,2514374
CN1CC=CCNC1=O,93157,9914848
CC1=CC2C(C#N)C2C1,74561,1400751
CCOC12CCC1C2C,119710,8813513
C#CC12C=CC(CO1)O2,34284,3265488
CC(O)C1CC2CCC21,59579,948398
CC1C(=O)NCC1CO,115145,2213621
N#CC1CNC=CC1=O,43408,5761124
C#CCCC1CCC1O,94639,7229247
CC1OC2(C)CCC1O2,89489,5615676
N#CC(CO)N1CCC1,99685,7287772
CC1CCC(C)(O)C1C,93671,6786650
CC1=CC2C(CO)C2C1,110839,2677396
C#CC(C)(C#N)N(C)C,58083,8227978
C#CC(=O)C(O)COC,117913,5735675
CC1(C#N)CCOC1=O,66261,2536530
CCCC1(C)OCC1=O,118919,4040449
CC(C)C(C)C1CCC1,58259,3045803
OCCCc1ccn[nH]1,131799,7461254
N#CC1=CC(=O)COC1,47335,4836198
N#CCCC1COC1=O,46427,4395453
C#CCOC1C(C)C1C,76695,3062542
COC12CCC=C1CC2,108267,9684632
C#CC1(C2CCO2)CC1,33454,3898065
CC(C)(C)C(C#N)CO,99515,2523442
N#CC1CC2(COC2)C1,35334,6249824
C#CCCOCCOC,123209,6440766
CCOCC(O)C(C)=O,121888,8276771
CC1=CC(=O)C(C)NC1,93763,4575862
C#CC12OCC1CC2C,92380,5674922
CC(CCO)C1CCC1,118142,2104522
C#CC12C3CC1CN2C3,33650,667570
CCCC(=O)C(C)C#N,117096,3573784
C#CC1CC(CO)C1O,112532,7400133
CC1=CCOC(=O)OC1,75431,3206374
CC1CC2(CCOC2)C1,89581,6738753
O=CNCC12COC1C2,52117,5003383
CC1C2OC3C(C)N1C23,82593,7454685
C#CCC1(C)OCC1C,94219,6135603
COCc1coc(C)n1,33109,5536799
CCc1c(C)coc1C,31129,1287799
CC(C)(C#N)CC(N)=O,55639,3564301
CC(C)(O)C1CC=CC1,57462,826383
C#CC1CC=CC(=O)O1,43687,5003183
O=C1COCC12CC2O,88146,6071050
CC1C2COC2C1(C)C,83638,7639554
CC1CC2(O)CC=CC12,89449,4712741
CC1OCCC12COC2,95960,6355516
CCOC(C)C(N)C#N,118010,8789529
CC1C=CC(C)C1C#N,84386,8927010
C#CCC1CC(O)CO1,94054,6975133
CCC(CO)OC(C)C,102645,8992761
CCC(=O)C1CC1CO,113654,5678804
CCCC1CC1CC#N,120787,7140639
C#Cc1cc(CC)co1,32376,1707165
CC(=O)CCC(=O)CO,99206,2957603
COC1(CC(C)=O)CC1,104593,9522059
CC(CC#N)C(O)CO,100799,710887
N#CC1CC(=O)CCN1,47370,4647586
CCC1(O)CN(C=O)C1,103684,3490057
CC1CCC1NCC#N,94628,6739862
OC1CC2C=CC1C2O,91169,7333460
CCC#CC1CC1(C)C,97773,5051192
CC1CC2OC(C#N)C12,91300,6174756
Cc1ccc(C(N)=O)[nH]1,25806,414046
C#Cc1c[nH]cc1CO,32507,7718049
C#CC1NC(C)C1C#N,85709,7017293
CC1(CO)C2CC(=O)C21,103249,1059975
CC1COC1(C#N)CO,105620,4882456
CCC(C)C1C=CCC1,101456,4711220
CCC1C2CC(C#N)C12,110803,4066344
CCC1OCC1CC#N,115751,2139891
CN1CC2(CC2O)C1=O,87701,8420506
C#CC1COC1C1CC1,35706,2214440
CCOC1CC2CC21O,120934,8477078
CC(=O)C1CC1C(N)=O,55000,2340588
CC(C#N)NC1(C)CC1,61521,245828
CC1COC2CCOC12,95372,6040054
O=C1CCC2(CC2)OC1,46510,5072133
CCC1(C#N)CCCC1,105746,4198851
C#CC1=CC(=O)CC1=O,43437,4429862
COC1C(=O)CC12CC2,109454,9064761
CC12CC1CCOC2=O,70686,964980
CC(CO)C1CC(=O)N1,101205,888626
CC1COC(C)(C)C1O,93674,6012914
N#CC1CC1C1(O)CC1,65178,6233971
C#CC1CC(C)(C#N)O1,64852,691280
OC1CCCCCC1O,96560,7291287
CC#CC1COC(=O)O1,53368,1419908
C1=CC2CN(C1)CCO2,41854,801290
N#CCNc1ccoc1,24101,5130979
CCC1C(O)C1C(C)C,109769,4094776
CC1(O)CC1C(O)C#N,56920,3217163
O=C1OCC2=C1CCN2,46616,4486995
CC(NCC#N)C1CC1,61920,52417
OCC1=CC(O)CC1O,108864,7390300
COCC(CC#N)OC,118536,6629585
Cc1cc(CO)c(C)[nH]1,31008,1459114
C#CC(C#N)(CC)OC,102337,2825233
CC#CC1C2CCOC12,53192,2244961
CC12COC(C1)OC2=O,72564,2675289
C#CC1CC2(C#N)CC12,35300,2272621
CC1COC2CC=CC12,95271,6625627
CC1CC2C1=CCC2O,90443,4789969
CC1COCC(O)C1=O,95784,6224218
CCN(CC#N)C1CC1,102182,8687555
C#CC1=C(C)CCC1C,93746,6610748
COC1(C)CC(=O)CO1,104131,9019282
CC1(O)CC=CC2CC21,64044,2369414
CCC(C)C1(CO)CC1,101018,5260287
CC1(C)C=CCC1CO,115000,816223
COC12COCC1C2O,108594,9194273
CN(C)Cc1ccon1,127155,8589014
CCCCC1CC1CC,122516,8268741
C1=CC2CC3CC23CC1,38666,1499096
CC1CC2(CC2)CC1=O,89822,5777567
C1=CCC2(COC2)OC1,40941,572457
CCC1CC(C)(C#N)N1,112582,2865122
CC1CC1C1CNC1=O,88783,7180900
C#CC1(C)CC2CC2O1,65577,135947
C#CC12CC(C)=CC1C2,74815,650370
CC1=CCC2CCC12O,75359,3479778
COCC(C)OCC#N,118278,6419572
CCC(C)C1CC2CC21,101363,6432266
C#CC1CC2(C)C(C)C12,78083,652452
CCc1c(C)ncn1C,30908,4028693
